id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
2065,Jho'l,Jho'l,,N.F.,n.f.,,,See Jhaul,,See Jhaul,,,mainDictionary_repaired.csv,64,original,,Jho'l,Jhओ'l,low,unmapped_chars_sample='Jh'l' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 2, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}]"
2066,Jholá,Jhola,,NOUN,n.m.,,H. jholā,A wallet,,A wallet,,"-bharṇá, v.i. re. To fill a wallet; -láṇí, v.a. re. To become a mendicant",mainDictionary_repaired.csv,64,original,,Jholá,Jhओlá,low,unmapped_chars_sample='Jhlá' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 2, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
2067,Jholí,Jholi,,N.F.,n.f.,,,A small wallet,,A small wallet,,,mainDictionary_repaired.csv,64,original,,Jholí,Jhओlí,low,unmapped_chars_sample='Jhlí' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 2, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
2068,Jho'ṭ,Jho't,,NOUN,n.m.,,,"A root, origin, foundation",,"A root, origin, foundation",,"-cháṇ-ṇí, v.t. re. To cut a root",mainDictionary_repaired.csv,64,original,,Jho'ṭ,Jhओ'ṭ,low,unmapped_chars_sample='Jh'ṭ' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 2, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'ṭ', 'pos': 4}]"
2069,Jhuňkhíá,Jhunkhia,,NOUN,n.m.,,,"Timber, a large piece of wood",,"Timber, a large piece of wood",,,mainDictionary_repaired.csv,64,original,,Jhuňkhíá,Jhuňkhíá,low,unmapped_chars_sample='Jhuňkh' count=8,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
2070,Jhuňkhṛí,Jhunkhri,,N.F.,n.f.,,,"Firewood, fuel",,"Firewood, fuel",,"-báňḍṇí, v.i. re. To distribute fuel",mainDictionary_repaired.csv,64,original,,Jhuňkhṛí,Jhuňkhṛí,low,unmapped_chars_sample='Jhuňkh' count=8,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
2071,Jhúlá,Jhula,,NOUN,n.m.,,,A swinging bridge,,A swinging bridge,,,mainDictionary_repaired.csv,64,original,,Jhúlá,Jhúlá,low,unmapped_chars_sample='Jhúlá' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
2072,Jhúláwṇu,Jhulawnu,,V.T.,v.t. re.,,,To cause or allow to swing,,To cause or allow to swing,,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,,Jhúláwṇu,Jhúláwṇu,low,unmapped_chars_sample='Jhúláw' count=8,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': 'w', 'pos': 5}]"
2073,Jhúldá,Jhulda,,P.P.,p.p.,,,Swinging,,Swinging,,,mainDictionary_repaired.csv,64,original,,Jhúldá,Jhúldá,low,unmapped_chars_sample='Jhúldá' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'd', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
2074,Jhulkáwṇu,Jhulkawnu,,V.T.,v.t. re.,,,To cause or allow to shake,,To cause or allow to shake,,,mainDictionary_repaired.csv,64,original,,Jhulkáwṇu,Jhulkáwṇu,low,unmapped_chars_sample='Jhulká' count=9,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
